region,category,month,seasonality_index,demand_driver,source_type,notes
North America,Electronics,2022-06,95,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-06,98,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-06,96,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-06,93,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-06,114,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-06,99,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-06,96,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-07,95,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-07,94,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-07,99,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-07,95,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-07,93,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-07,119,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-07,99,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-07,95,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-08,101,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-08,100,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-08,101,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-08,100,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-08,97,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-08,119,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-08,101,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-08,99,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-09,103,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-09,102,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-09,100,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-09,102,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-09,100,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-09,101,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-09,100,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-09,103,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-10,111,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-10,110,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-10,102,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-10,109,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-10,107,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-10,99,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-10,102,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-10,112,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-11,124,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-11,128,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-11,107,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-11,121,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-11,119,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-11,106,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-11,108,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-11,125,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2022-12,121,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2022-12,119,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2022-12,106,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2022-12,117,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2022-12,116,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2022-12,124,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2022-12,110,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2022-12,122,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-01,90,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-01,94,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-01,99,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-01,93,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-01,91,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-01,109,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-01,101,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-01,92,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-02,92,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-02,93,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-02,99,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-02,96,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-02,92,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-02,101,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-02,100,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-02,94,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-03,98,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-03,95,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-03,100,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-03,99,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-03,95,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-03,99,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-03,101,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-03,97,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-04,101,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-04,97,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-04,100,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-04,101,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-04,97,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-04,103,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-04,102,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-04,100,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-05,99,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-05,98,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-05,100,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-05,98,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-05,96,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-05,108,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-05,101,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-05,99,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-06,97,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-06,96,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-06,99,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-06,97,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-06,94,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-06,115,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-06,100,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-06,97,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-07,96,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-07,95,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-07,100,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-07,96,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-07,94,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-07,120,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-07,100,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-07,96,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-08,102,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-08,101,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-08,102,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-08,101,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-08,98,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-08,120,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-08,102,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-08,100,late summer / back-to-school prep,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-09,104,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-09,103,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-09,101,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-09,103,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-09,101,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-09,102,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-09,101,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-09,104,back-to-school / autumn reset,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-10,112,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-10,111,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-10,103,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-10,110,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-10,108,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-10,100,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-10,103,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-10,113,holiday ramp / regional festival demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-11,125,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-11,129,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-11,108,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-11,122,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-11,120,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-11,107,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-11,109,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-11,126,promo peak / singles day / black friday,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2023-12,122,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2023-12,120,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2023-12,107,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2023-12,118,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2023-12,117,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2023-12,125,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2023-12,111,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2023-12,123,year-end gifting / travel peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2024-01,91,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2024-01,95,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2024-01,100,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2024-01,94,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2024-01,92,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2024-01,110,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2024-01,102,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2024-01,93,post-holiday reset / summer south,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2024-02,93,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2024-02,94,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2024-02,100,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2024-02,97,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2024-02,93,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2024-02,102,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2024-02,101,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2024-02,95,valentines / routine demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2024-03,99,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2024-03,96,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2024-03,101,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2024-03,100,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2024-03,96,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2024-03,100,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2024-03,102,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2024-03,98,spring / religious-calendar shifts,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2024-04,102,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2024-04,98,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2024-04,101,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2024-04,102,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2024-04,98,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2024-04,104,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2024-04,103,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2024-04,101,easter / ramadan-eid / spring uplift,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2024-05,100,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2024-05,99,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2024-05,101,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2024-05,99,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2024-05,97,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2024-05,109,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2024-05,102,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2024-05,100,pre-summer demand,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2024-06,98,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2024-06,97,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2024-06,100,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2024-06,98,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2024-06,95,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2024-06,116,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,QSR_Food_Delivery,2024-06,101,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Luxury,2024-06,98,summer and travel ramp,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Apparel,2024-07,97,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Electronics,2024-07,96,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,FMCG,2024-07,101,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Beauty_Personal_Care,2024-07,97,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Home,2024-07,95,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
North America,Travel,2024-07,121,summer peak,synthetic_baseline,Index 100 = long-run monthly average for category-region pair
